site,date,inverter_id,daily_kwh,daily_kwh_per_kwp
Bissell_Thrift_Shop,2025-11-20,3,8.21295,0.88311
Bissell_Thrift_Shop,2025-11-21,1,6.08518,0.54527
Bissell_Thrift_Shop,2025-11-21,2,5.88602,0.57537
Bissell_Thrift_Shop,2025-11-21,3,5.35913,0.57625
Bissell_Thrift_Shop,2025-11-22,1,6.24706,0.55977
Bissell_Thrift_Shop,2025-11-22,2,6.25262,0.6112
Bissell_Thrift_Shop,2025-11-22,3,6.17323,0.66379
Bissell_Thrift_Shop,2025-11-23,1,6.89272,0.61763
Bissell_Thrift_Shop,2025-11-23,2,6.00615,0.58711
Bissell_Thrift_Shop,2025-11-23,3,6.06478,0.65213
Bissell_Thrift_Shop,2025-11-24,1,5.45661,0.48894
Bissell_Thrift_Shop,2025-11-24,2,6.36075,0.62177
Bissell_Thrift_Shop,2025-11-24,3,6.64121,0.71411
Bissell_Thrift_Shop,2025-11-25,1,6.06432,0.5434
Bissell_Thrift_Shop,2025-11-25,2,6.39087,0.62472
Bissell_Thrift_Shop,2025-11-25,3,6.53223,0.70239
Bissell_Thrift_Shop,2025-11-26,1,6.49497,0.58199
Bissell_Thrift_Shop,2025-11-26,2,6.74664,0.6595
Bissell_Thrift_Shop,2025-11-26,3,6.56244,0.70564
Bissell_Thrift_Shop,2025-11-27,1,3.35218,0.30037
Bissell_Thrift_Shop,2025-11-27,2,3.10941,0.30395
Bissell_Thrift_Shop,2025-11-27,3,2.65032,0.28498
Bissell_Thrift_Shop,2025-11-28,1,0.11079,0.00993
Bissell_Thrift_Shop,2025-11-28,2,0.0971,0.00949
Bissell_Thrift_Shop,2025-11-28,3,0.0831,0.00894
Bissell_Thrift_Shop,2025-11-29,1,0.14525,0.01302
Bissell_Thrift_Shop,2025-11-29,2,0.12982,0.01269
Bissell_Thrift_Shop,2025-11-29,3,0.1377,0.01481
Bissell_Thrift_Shop,2025-11-30,1,0.15263,0.01368
Bissell_Thrift_Shop,2025-11-30,2,0.13822,0.01351
Bissell_Thrift_Shop,2025-11-30,3,0.14637,0.01574
